,0,channelTitle,publishedAt,channelId,title,tags,viewCount,likeCount
26,_GgIt2EFHV8,THEBLACKLABEL,2023-08-07T09:00:12Z,UCg8ZzloDPTrOiGztK0C9txQ,JEON SOMI (전소미) - ‘Fast Forward’ M/V,"['KPOP', 'K-POP', 'SOMI', 'Jeon Somi', '전소미', '소미', 'blackpink', 'yg entertainment', 'music video', 'YG', 'pop', 'r&b', 'music', 'what you waiting for', 'single', 'birthday', 'theblacklabel', 'sm entertainment', 'jyp entertainment', 'bts', 'big hit entertainment', 'dance', 'hip hop', 'dumb dumb', 'DUMB DUMB', 'DUMBDUMB', 'dumbdumb', '덤덤', '전소미 덤덤', '덤덤 전소미', 'JEON', 'IOI', '아이오아이', '프로듀서101\nSOMI', 'XOXO', '엑소엑소', '엑스오엑스오', 'XOXOCHALLENGE', 'THEBLACKLABEL', 'JEONSOMI_XOXO', 'IAMSOMI', '아이엠소미', 'TEASER', 'Anymore', '전소미 Anymore', '애니모어', 'GAMEPLAN', '게임플랜', 'FastForward', 'FF', '패스트포워트', 'M/V', 'MusicVideo', 'MV', '뮤직비디오', 'YGX', '어때', '스맨파']",25140616,
27,Qv4_5fB-ShY,MTHOFFICIAL,2023-08-06T12:00:15Z,UCfU3NQNTobdTMG5sehBl1vg,マキシマム ザ ホルモン『恋のアメリカ』Music Video,,793515,26007
28,tZYsvAoSNxQ,SMTOWN,2023-08-06T15:00:43Z,UCEf_Bc-KVd7onSeifS3py9g,RIIZE 라이즈 'Siren' Performance Video,"['RIIZE', '라이즈', 'Siren', 'performance', 'performance video', 'choreography', '퍼포', '퍼포 비디오', '신인', 'SM', '보이그룹', 'SUNGCHAN', 'SHOTARO', 'WONBIN', 'SOHEE', 'EUNSEOK', 'SEUNGHAN', 'ANTON', '성찬', '쇼타로', '원빈', '소희', '은석', '승한', '앤톤', '싸이렌', 'RISEandREALIZE', 'new boy group', 'boy group', 'debut', '데뷔']",1794222,184656
29,bZb5Sopy8S0,JFATV,2023-08-07T09:56:01Z,UCgIeUSV91-FfmCayG4lSBcw,Team Cam vol.12｜負けられないノックアウトステージ初戦の舞台裏｜FIFA Women’s World Cup 2023 ‐ Aug. 2023 なでしこジャパン,['なでしこジャパン'],279954,2704
30,O8frAUgeiMs,ちゃぴさんです。,2023-08-07T11:00:26Z,UCeu0G1rICr5H41aBte2Sdgw,【大会当日】リベンジをかけて挑みます。,"['筋トレ', '筋肉', '減量', 'ダイエット', '痩せる', 'ジム', 'ジム女子', '筋トレ女子', '大会', 'レシピ', '嫁にもろて', '吉高由里子', 'プロテイン']",360399,11296
31,1rET05zUc8Y,暇なおっさん田舎暮らし ニワトリ,2023-08-07T10:00:01Z,UCxs71BFEJu4_ULQU9J_Hwog,生まれてはじめて地面を踏んだひよこ達【ひよこ飼育】,,332687,8338
32,MwyHA7MpJ4I,CapcomChannel,2023-08-07T02:18:09Z,UCyuEAZQzRqhcaLZvQd9ZUNA,『ストリートファイター６』 A.K.I. ティザートレーラー,,263933,2665
33,orwWxkWoQyw,チョコレートプラネット チャンネル,2023-08-07T10:30:16Z,UCpCesuCH4UxIcy65gSrC0Pw,【記録映像】悪質クレーマー「茶柱がたったのに何もいいことがない」,"['チョコプラ', 'チョコレートプラネット', '長田', '松尾']",260079,5232
34,425CPNpeLTk,なーすけFitness,2023-08-07T11:00:07Z,UCRvM4zFmDz2cEiuk7d9C-3w,1年前の予選敗退。無念を晴らすべく挑む大会当日。,"['ダイエット', '筋肉', '腹筋', '朝活', 'トレーニング', '筋トレ', 'なーすけ', '減量', 'フィジーク', '痩せる', '脂肪', '下っ腹', '下腹部', '胸筋', '背筋', 'マッチョ', '割る', 'ダンス', 'プロテイン', 'ぷろたん', 'ルーティン', '会社員', 'きんに君', '薬学生トレーニー', '竹脇まりな', 'マリネス', '修一郎']",219279,3766
35,c9Vnt6jTQDM,カジサックの小部屋,2023-08-07T09:00:23Z,UCdEpbrlHoqnUGMRy2LICtRw,【ご報告】ツネから皆様へ大切なご報告がございます,"['カジサック', 'KAJISAC', 'キングコング', 'キンコン', '梶原', '西野', '吉本', 'お笑い', '芸人', 'Youtuber', 'OMO', 'カジサックの部屋', '吉本興業', 'よしもとクリエイティブエージェンシー', 'かじさっく', 'カジサックの小部屋', '#吉本自宅劇場']",336058,7822
